"phenotype","description","variable_type","n_non_missing","n_missing","n_controls","n_cases"
"670_1","Type of accommodation lived in: A house or bungalow","binary",360088,1106,33234,326854
"670_2","Type of accommodation lived in: A flat, maisonette or apartment","binary",360088,1106,328237,31851
"670_3","Type of accommodation lived in: Mobile or temporary structure (i.e. caravan)","binary",360088,1106,359604,484
"670_4","Type of accommodation lived in: Sheltered accommodation","binary",360088,1106,359229,859
"680_1","Own or rent accommodation lived in: Own outright (by you or someone in your household)","binary",356340,4854,162982,193358
"680_2","Own or rent accommodation lived in: Own with a mortgage","binary",356340,4854,225107,131233
"680_3","Own or rent accommodation lived in: Rent - from local authority, local council, housing association","binary",356340,4854,337372,18968
"680_4","Own or rent accommodation lived in: Rent - from private landlord or letting agency","binary",356340,4854,346887,9453
"680_5","Own or rent accommodation lived in: Pay part rent and part mortgage (shared ownership)","binary",356340,4854,355421,919
"680_6","Own or rent accommodation lived in: Live in accommodation rent free","binary",356340,4854,353931,2409
"1150_2","Usual side of head for mobile phone use: Right","binary",303009,58185,127654,175355
"1150_1","Usual side of head for mobile phone use: Left","binary",303009,58185,195207,107802
"1150_3","Usual side of head for mobile phone use: Equally left and right","binary",303009,58185,283157,19852
"1210","Snoring","binary",336320,24874,210664,125656
"1418_2","Milk type used: Semi-skimmed","binary",360806,388,125936,234870
"1418_1","Milk type used: Full cream","binary",360806,388,337904,22902
"1418_3","Milk type used: Skimmed","binary",360806,388,286719,74087
"1418_4","Milk type used: Soya","binary",360806,388,347659,13147
"1418_5","Milk type used: Other type of milk","binary",360806,388,356593,4213
"1418_6","Milk type used: Never/rarely have milk","binary",360806,388,349219,11587
"1428_3","Spread type: Other type of spread/margarine","binary",360291,903,169698,190593
"1428_0","Spread type: Never/rarely use spread","binary",360291,903,323712,36579
"1428_1","Spread type: Butter/spreadable butter","binary",360291,903,229101,131190
"1428_2","Spread type: Flora Pro-Active/Benecol","binary",360291,903,358362,1929
"1448_3","Bread type: Wholemeal or wholegrain","binary",348424,12770,147411,201013
"1448_1","Bread type: White","binary",348424,12770,256972,91452
"1448_2","Bread type: Brown","binary",348424,12770,306906,41518
"1448_4","Bread type: Other type of bread","binary",348424,12770,333983,14441
"1468_3","Cereal type: Oat cereal (e.g. Ready Brek, porridge)","binary",299898,61296,223547,76351
"1468_1","Cereal type: Bran cereal (e.g. All Bran, Branflakes)","binary",299898,61296,249289,50609
"1468_2","Cereal type: Biscuit cereal (e.g. Weetabix)","binary",299898,61296,246588,53310
"1468_4","Cereal type: Muesli","binary",299898,61296,238375,61523
"1468_5","Cereal type: Other (e.g. Cornflakes, Frosties)","binary",299898,61296,241793,58105
"1508_2","Coffee type: Instant coffee","binary",283449,77745,125063,158386
"1508_1","Coffee type: Decaffeinated coffee (any type)","binary",283449,77745,228139,55310
"1508_3","Coffee type: Ground coffee (include espresso, filter etc)","binary",283449,77745,218487,64962
"1508_4","Coffee type: Other type of coffee","binary",283449,77745,278658,4791
"1538_0","Major dietary changes in the last 5 years: No","binary",360294,900,138926,221368
"1538_1","Major dietary changes in the last 5 years: Yes, because of illness","binary",360294,900,322243,38051
"1538_2","Major dietary changes in the last 5 years: Yes, because of other reasons","binary",360294,900,259419,100875
"1618","Alcohol usually taken with meals","binary",184716,176478,59552,125164
"1677","Breastfed as a baby","binary",273743,87451,79905,193838
"1707_1","Handedness (chirality/laterality): Right-handed","binary",360913,281,40671,320242
"1707_2","Handedness (chirality/laterality): Left-handed","binary",360913,281,326328,34585
"1707_3","Handedness (chirality/laterality): Use both right and left hands equally","binary",360913,281,354827,6086
"1747_3","Hair colour (natural, before greying): Light brown","binary",360270,924,212710,147560
"1747_1","Hair colour (natural, before greying): Blonde","binary",360270,924,319092,41178
"1747_2","Hair colour (natural, before greying): Red","binary",360270,924,343655,16615
